Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:d48a:2055:2fa:3a83,South Holland,2021-09-15T17:38:40.421Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,SE,Chrome PC (Cadmium),Chrome PC (Cadmium),195.246.120.137,Västra Götaland,2021-09-15T17:34:13.740Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,SE,Chrome PC (Cadmium),Chrome PC (Cadmium),195.246.120.7,Västerbotten,2021-09-14T17:32:30.579Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:6d13:f410:be4a:a842,South Holland,2021-09-13T19:52:40.081Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:a0b3:13ed:78d1:f9f8,South Holland,2021-09-12T20:18:42.561Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.26,Southern Denmark,2021-09-11T18:21:48.341Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.92.71,Capital Region,2021-09-11T16:41:35.397Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:5021:9cbb:1bbf:bfd6,South Holland,2021-09-08T20:14:28.978Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:5435:8d1a:8366:6bd3,South Holland,2021-09-07T18:07:40.547Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:d8c7:8a69:5b3c:97c7,South Holland,2021-09-06T18:31:33.081Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:98ca:cf98:f29b:2ab2,South Holland,2021-09-05T19:55:08.777Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:9178:7f85:6ddd:bac1,South Holland,2021-09-05T17:58:55.202Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.28,Capital Region,2021-09-05T17:40:14.672Z
